name,symbol,url,chains,category,twitter,audit links
Curve,CRV,https://curve.fi,"Ethereum,Avalanche,Fantom,Polygon,Arbitrum,xDai,Harmony,Optimism",Dexes,CurveFinance,https://curve.fi/audits
MakerDAO,MKR,https://makerdao.com/,Ethereum,CDP,MakerDAO,https://security.makerdao.com/
Convex Finance,CVX,https://www.convexfinance.com/,Ethereum,Yield,ConvexFinance,https://github.com/convex-eth/platform/blob/main/audit/Convex%20Platform%20Security%20Audit%20Report.pdf
AAVE,AAVE,"https://aave.com
","Ethereum,Avalanche,Polygon",Lending,AaveAave,https://aave.com/security
Polygon Bridge & Staking,MATIC,https://polygon.technology/,Polygon,Chain,0xPolygon,
WBTC,WBTC,https://wbtc.network/,Ethereum,Bridge,WrappedBTC,https://wbtc.network/dashboard/audit
Lido,LDO,https://lido.fi/,"Ethereum,Terra,Solana",Liquid Staking,LidoFinance,https://github.com/lidofinance/audits
Anchor,ANC,https://anchorprotocol.com/,Terra,Lending,anchor_protocol,https://docs.anchorprotocol.com/security#audits
Uniswap,UNI,https://info.uniswap.org/,"Ethereum,Polygon,Arbitrum,Optimism",Dexes,Uniswap,"https://github.com/Uniswap/uniswap-v3-core/tree/main/audits,https://github.com/Uniswap/uniswap-v3-periphery/tree/main/audits,https://github.com/ConsenSys/Uniswap-audit-report-2018-12"
Multichain,MULTI,https://multichain.org/,"Fantom,Avalanche,Ethereum,Binance,Moonriver,Arbitrum,OKExChain,Harmony,Polygon,xDai,Telos,Heco,Kucoin,Syscoin",Bridge,MultichainOrg,"https://github.com/anyswap/Anyswap-Audit/blob/master/TrailOfBits/Anyswap-CrossChain-Bridge-TrailofBits-Audit-Final%20Report.pdf,https://github.com/anyswap/Anyswap-Audit/blob/master/SlowMist/AnySwap%20CrossChain-Bridge%20Security%20Audit%20Report.pdf,https://github.com/anyswap/Anyswap-Audit/blob/master/SlowMist/Anyswap%20Smart%20Contract%20Security%20Audit.pdf,https://github.com/peckshield/publications/blob/master/audit_reports/PeckShield-Audit-Report-Travala-AnyswapV5ERC20-v1.0.pdf"
Compound,COMP,https://compound.finance,Ethereum,Lending,compoundfinance,https://compound.finance/docs/security
SushiSwap,SUSHI,https://sushi.com/,"Ethereum,Arbitrum,Polygon,Avalanche,Fantom,Harmony,Binance,Moonriver,Celo,xDai,Telos,Fuse,OKExChain,Palm,Heco",Dexes,SushiSwap,https://github.com/peckshield/publications/blob/master/audit_reports/PeckShield-Audit-Report-SushiSwap-v1.0.pdf
Instadapp,INST,https://instadapp.io/,Ethereum,Services,Instadapp,https://github.com/Instadapp/dsa-contracts/blob/master/audits/v1_PeckShield_Mar_2020.pdf
PancakeSwap,CAKE,https://pancakeswap.finance/,Binance,Dexes,PancakeSwap,https://docs.pancakeswap.finance/#is-it-safe
Yearn Finance,YFI,https://yearn.finance/,"Ethereum,Fantom",Yield Aggregator,iearnfinance,https://github.com/yearn/yearn-audits
Balancer,BAL,https://balancer.finance/,"Ethereum,Polygon,Arbitrum",Dexes,BalancerLabs,https://docs.balancer.fi/core-concepts/security/audits
Abracadabra,SPELL,https://abracadabra.money/,"Ethereum,Arbitrum,Fantom,Avalanche",CDP,MIM_Spell,https://www.certora.com/pubs/SushiBentoboxFeb2021.pdf
ShibaSwap,BONE,https://shibaswap.com,Ethereum,Dexes,Shibtoken,https://www.certik.org/projects/shib
Frax,FXS,https://frax.finance/,"Ethereum,Fantom",Algo-Stables,fraxfinance,https://www.certik.org/projects/fraxfinance
JustLend,JST,https://justlend.just.network,Tron,Lending,DeFi_JUST,
hBTC,hBTC,https://www.hbtc.finance/ ,Ethereum,Bridge,HBTC_official,https://www.htokens.finance/static/pdf/audit-report-en.pdf
Venus,XVS,https://venus.io/,Binance,Lending,VenusProtocol,https://www.certik.org/projects/swipe
Trader Joe,JOE,https://www.traderjoexyz.com,Avalanche,Dexes,traderjoe_xyz,https://docs.traderjoexyz.com/main/security-and-contracts/audits
Liquity,LQTY,https://www.liquity.org/,Ethereum,CDP,LiquityProtocol,"https://github.com/trailofbits/publications/blob/master/reviews/Liquity.pdf,https://www.coinspect.com/liquity-audit/"
Osmosis,OSMO,https://osmosis.zone/,Osmosis,Dexes,osmosiszone,
VVS Finance,VVS,https://vvs.finance,Cronos,Dexes,VVS_finance,https://docs.vvs.finance/fundamentals/smart-contracts-and-security
RenVM,REN,https://renproject.io/,"Ethereum,Fantom,Solana,Arbitrum,Polygon,Binance,Avalanche",Bridge,renprotocol,https://github.com/renproject/ren/wiki/Audits
SpookySwap,BOO,https://spookyswap.finance/,Fantom,Dexes,SpookySwap,https://www.certik.org/projects/spookyswap
Iron Bank,IB,https://ib.xyz,"Ethereum,Avalanche,Fantom",Lending,ibdotxyz,https://github.com/trailofbits/publications/blob/master/reviews/CREAMSummary.pdf
